"Not sure why there are some negative reviews but the movie is really good. Great action sequence and VFX. Good story. Would not say its a masterpiece, but worth watching",Positive
"An overall excellent movie, action packed, Perfect BGM, Lead characters",Positive
I watch this movie... and it's awesome... just treat to watch... this movie is blown you mind.. don't believe in negetive reviews... just go and watch...,Positive
The action scenes in the movie are just mindblowing and the story line up goes many twists but very cachy over all paisa vasool movie.fully satisfied,Negative
The action scenes in the movie are just mindblowing and the story line up goes many twists but very cachy over all paisa vasool movie.fully satisfied,Negative
The action scenes in the movie are just mindblowing and the story line up goes many twists but very cachy over all paisa vasool movie.fully satisfied,Negative
The action scenes in the movie are just mindblowing and the story line up goes many twists but very cachy over all paisa vasool movie.fully satisfied,Negative
The action scenes in the movie are just mindblowing and the story line up goes many twists but very cachy over all paisa vasool movie.fully satisfied,Negative
The action scenes in the movie are just mindblowing and the story line up goes many twists but very cachy over all paisa vasool movie.fully satisfied,Negative
This movie is going to change the mockeries about South Indian Films. I was not expecting to be good at all but I must agree movie has come out soon good. Must watch movie.,Positive
